text,label  
防淫佚之原，广道德之端，抑末利而开仁义，毋示以利，然后教化可兴，而风俗可移也。今郡国有盐、铁、酒榷，均与民争利。散敦厚之朴，成贪鄙之化。是以百姓就本者寡，趋末者众。夫文繁则质衰，末盛则质亏。末修则民淫，本修则民悫。民悫则财用足，民侈则饥寒生。愿罢盐、铁、酒榷、均输，所以进本退末，广利农业，便也。,儒家  
匈奴背叛不臣，数为寇暴于边鄙，备之则劳中国之士，不备则侵盗不止。先帝哀边人之久患，苦为虏所系获也，故修障塞。饬烽燧，屯戍以备之。边用度不足，故兴盐、铁，设酒榷，置均输，蕃货长财，以佐助边费。今议者欲罢之，内空府库之藏，外乏执备之用，使备塞乘城之士饥寒于边，将何以赡之？罢之，不便也。,法家  
孔子曰：‘有国有家者，不患贫而患不均，不患寡而患不安。’ 故天子不言多少，诸侯不言利害，大夫不言得丧。畜仁义以风之，广德行以怀之。是以近者亲附而远者悦服。故善克者不战，善战者不师，善师者不阵。修之于庙堂，而折冲还师。王者行仁政，无敌于天下，恶用费哉？,儒家  
匈奴桀黠，擅恣入塞，犯厉中国，杀伐郡、县、朔方都尉，甚悖逆不轨，宜诛讨之日久矣。陛下垂大惠，哀元元之未赡，不忍暴士大夫于原野；纵难被坚执锐，有北面复匈奴之志，又欲罢盐、铁、均输，扰边用，损武略，无忧边之心，于其义未便也。,法家  
古者，贵以德而贱用兵。孔子曰：‘远人不服，则修文德以来之。既来之，则安之。’今废道德而任兵革，兴师而伐之，屯戍而备之，暴兵露师，以支久长，转输粮食无已，使边境之士饥寒于外，百姓劳苦于内。立盐、铁，始张利官以给之，非长策也。故以罢之为便也。,儒家  
古之立国家者，开本末之途，通有无之用，市朝以一其求，致士民，聚万货，农商工师各得所欲，交易而退。易曰：‘通其变，使民不倦。’故工不出，则农用乏；商不出，则宝货绝。农用乏，则谷不殖；宝货绝，则财用匮。故盐、铁、均输，所以通委财而调缓急。罢之，不便也。,法家  
夫导民以德则民归厚；示民以利，则民俗薄。俗薄则背义而趋利，趋利则百姓交于道而接于市。老子曰：‘贫国若有余。’非多财也，嗜欲众而民躁也。是以王者崇本退末，以礼义防民欲，实菽粟货财。市，商不通无用之物，工不作无用之器。故商所以通郁滞，工所以备器械，非治国之本务也。,儒家  
管子云：‘国有沃野之饶而民不足于食者，器械不备也。有山海之货而民不足于财者，商工不备也。’陇、蜀之丹漆旄羽，荆、扬之皮革骨象，江南之楠梓竹箭，燕、齐之鱼盐旃裘，兖、豫之漆丝絺纻，养生送终之具也，待商而通，待工而成。故圣人作为舟楫之用，以通川谷，服牛驾马，以达陵陆；致远穷深，所以交庶物而便百姓。是以先帝建铁官以赡农用，开均输以足民财；盐、铁、均输，万民所戴仰而取给者，罢之，不便也。,法家  
国有沃野之饶而民不足于食者，工商盛而本业荒也；有山海之货而民不足于财者，不务民用而淫巧众也。故川源不能实漏卮，山海不能赡溪壑。是以盘庚萃居，舜藏黄金，高帝禁商贾不得仕宦，所以遏贪鄙之俗，而醇至诚之风也。排困市井，防塞利门，而民犹为非也，况上之为利乎？传曰：‘诸侯好利则大夫鄙，大夫鄙则士贪，士贪则庶人盗。’是开利孔为民罪梯也。,儒家  
往者，郡国诸侯各以其方物贡输，往来烦杂，物多苦恶，或不偿其费。故郡国置输官以相给运，而便远方之贡，故曰均输。开委府于京师，以笼货物。贱即买，贵则卖。是以县官不失实，商贾无所贸利，故曰平准。平准则民不失职，均输则民齐劳逸。故平准、均输，所以平万物而便百姓，非开利孔而为民罪梯者也。,法家  
昔商君相秦也，内立法度，严刑罚，饬政教，奸伪无所容外设百倍之利，收山泽之税，国富民强，器械完饰，蓄积有余。是以征敌伐国，攘地斥境，不赋百姓而师以赡。故利用不竭而民不知，地尽西河而民不苦。盐、铁之利，所以佐百姓之急，足军旅之费，务蓄积以备乏绝，所给甚众，有益于国，无害于人。百姓何苦尔，而文学何忧也？,法家  
昔文帝之时，无盐、铁之利而民富；今有之而百姓困乏，未见利之所利也，而见其害也。且利不从天来，不从地出，一取之民间，谓之百倍，此计之失者也。无异于愚人反裘而负薪，爱其毛，不知其皮尽也。,儒家  
商鞅峭法长利，秦人不聊生，相与哭孝公。吴起长兵攻取，楚人搔动，相与泣悼王。其后楚日以危，秦日以弱。故利蓄而怨积，地广而祸构。,儒家  
秦任商君，国以富强，其后卒幷六国而成帝业。及二世之时，邪臣擅断，公道不行，诸侯叛弛，宗庙隳亡。春秋曰：‘末言尔，祭仲亡也。’夫善歌者使人续其声，善作者使人绍其功。椎车之蝉攫，相土之教也。周道之成，周公之力也。虽有裨谌之草创，无子产之润色，有文、武之规矩，而无周、吕之凿枘，则功业不成。今以赵高之亡秦而非商鞅，犹以崇虎乱殷而非伊尹也。,法家  
善凿者建周而不拔，善基者致高而不蹶。伊尹以尧、舜之道为殷国基，子孙绍位，百代不绝。商鞅以重刑峭法为秦国基，故二世而夺。刑既严峻矣，又作为相坐之法，造诽谤，增肉刑，百姓斋栗，不知所措手足也。赋敛既烦数矣，又外禁山泽之原，内设百倍之利，民无所开说容言。崇利而简义，高力而尚功，非不广壤进地也，然犹人之病水，益水而疾深，知其为秦开帝业，不知其为秦致亡道也。,儒家
言之非难，行之为难。故贤者处实而效功，亦非徒陈空文而已。昔商君明于开塞之术，假当世之权，为秦致利成业，是以战胜攻取，幷近灭远，乘燕、赵，陵齐、楚，诸侯敛衽，西面而向风。其后，蒙恬征胡，斥地千里，踰之河北，若坏朽折腐。何者？商君之遗谋，备饬素修也。故举而有利，动而有功。夫畜积筹策，国家之所以强也。故弛废而归之民，未睹巨计而涉大道也。,法家
商鞅之开塞，非不行也；蒙恬却胡千里，非无功也；威震天下，非不强也；诸侯随风西面，非不从也；然而皆秦之所以亡也。商鞅以权数危秦国，蒙恬以得千里亡秦社稷：此二子者，知利而不知害，知进而不知退，故果身死而众败。此所谓恋朐之智，而愚人之计也，夫何大道之有？故曰：‘小人先合而后忤，初虽乘马，卒必泣血。’此之谓也。,儒家
淑好之人，戚施之所妒也；贤知之士，阘茸之所恶也。是以上官大夫短屈原于顷襄，公伯寮愬子路于季孙。夫商君起布衣，自魏入秦，期年而相之，革法明教，而秦人大治。故兵动而地割，兵休而国富。孝公大说，封之于、商之地方五百里，功如丘山，名传后世。世人不能为，是以相与嫉其能而疵其功也。,法家
君子进必以道，退不失义，高而勿矜，劳而不伐，位尊而行恭，功大而理顺；故俗不疾其能，而世不妒其业。今商鞅弃道而用权，废德而任力，峭法盛刑，以虐戾为俗，欺旧交以为功，刑公族以立威，无恩于百姓，无信于诸侯，人与之为怨，家与之为雠，虽以获功见封，犹食毒肉愉饱而罹其咎也。苏秦合纵连横，统理六国，业非不大也；桀、纣与尧、舜并称，至今不亡，名非不长也；然非者不足贵。故事不苟多，名不苟传也。,儒家
